time,symbol,function,error,order_failed,api_message
2026-03-19 15:33:36,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:33:36).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:33:36).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
2026-03-19 15:33:58,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:33:58).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:33:58).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
2026-03-19 15:34:20,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:34:20).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:34:20).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
2026-03-19 15:34:42,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:34:42).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:34:42).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
2026-03-19 15:35:05,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:35:05).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:35:05).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
2026-03-19 15:35:26,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:35:26).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:35:26).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
2026-03-19 15:35:49,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:35:49).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:35:49).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
2026-03-19 15:36:10,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:36:10).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:36:10).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
2026-03-19 15:36:33,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:36:33).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:36:33).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
2026-03-19 15:36:55,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:36:55).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:36:55).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
2026-03-19 15:37:17,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:37:17).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:37:17).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
2026-03-19 15:37:39,XRPUSDT,process_symbol,"Qty invalid (ErrCode: 10001) (ErrTime: 06:37:39).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
Traceback (most recent call last):
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 1147, in process_symbol
    ok, reason = open_position(symbol, ""LONG"", entry_type, signal, wallet_info)
                 ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 753, in open_position
    result = place_market_entry(symbol, side, qty)
  File ""C:\Users\SBS\Desktop\bybit_bot\main.py"", line 342, in place_market_entry
    return session.place_order(
           ~~~~~~~~~~~~~~~~~~~^
        category=CATEGORY,
        ^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        timeInForce=""IOC""
        ^^^^^^^^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_v5_trade.py"", line 21, in place_order
    return self._submit_request(
           ~~~~~~~~~~~~~~~~~~~~^
        method=""POST"",
        ^^^^^^^^^^^^^^
    ...<2 lines>...
        auth=True,
        ^^^^^^^^^^
    )
    ^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 197, in _submit_request
    return self._handle_response(response, method, path, req_params, recv_window, retries_attempted)
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\SBS\Desktop\bybit_bot\venv\Lib\site-packages\pybit\_http_manager.py"", line 282, in _handle_response
    raise InvalidRequestError(
    ...<5 lines>...
    )
pybit.exceptions.InvalidRequestError: Qty invalid (ErrCode: 10001) (ErrTime: 06:37:39).
Request → POST https://api-demo.bybit.com/v5/order/create: {""category"": ""linear"", ""symbol"": ""XRPUSDT"", ""side"": ""Buy"", ""orderType"": ""Market"", ""qty"": ""46724.100000000006"", ""timeInForce"": ""IOC""}.
",False,
